,Name of book,Year of relase,Price,Category,Rating
223,Искусственный интеллект. От компьютеров к киборгам,2020,4 120,"Вече, Эврика XXI",4.4
224,Простой Python для опытных программистов,2021,7 866,"Солон-Пресс, Программирование",3.1
225,Лучший дизайн визитных карточек 8,,12 956,Рип-Холдинг,4.7
226,Сетки. Креативные решения,2009,15 540,Рип-Холдинг,4.9
227,Бесплатный интернет,2013,993,"Мартин, Все об Интернете",3.2
228,Халявные программы,2014,1 354,"Мартин, Все об Интернете",4.2
229,"Познакомьтесь, JavaScript",2022,7 147,"Питер, Библиотека программиста",5.0
230,Совершенный код,2022,15 413,"Русская редакция, Питер, BHV, Мастер-класс",4.3
231,Криптография с секретным ключом,2022,16 419,ДМК Пресс,3.3
232,Твой путь в киберспорт,2017,2 472,Попурри,3.6
233,Введение в информационную безопасность автоматизированных систем,2021,10 970,МГТУ им. Баумана,3.9
234,Понимая MAYA. Книга вторая,2021,29 850,"T8RUGRAM, Нобель Пресс",4.9
235,Проектирование в AutoCad,2021,5 594,МГТУ им. Баумана,4.2
236,Структуры данных в С++,2020,5 240,МГТУ им. Баумана,4.4
237,Детям об интернете,2020,2 197,Белорусская Православная Церковь,4.4
238,JavaScript. Как писать программы,2022,22 492,"Лань, Компьютеры и программное обеспечение",4.6
239,Защита информации,2021,15 005,"РИОР, Высшее образование",3.4
